accession	prefix
GCA_002714685.1	Cobetia_sp_SAT113
GCA_002714705.1	Pusillimonas_sp_SAT110
GCA_002714865.1	Xanthomarina_sp_SAT104
GCA_002715175.1	Hirschia_sp_SAT115
GCA_002715485.1	Aequorivita_sp_SP75
GCA_002715525.1	Owenweeksia_sp_SP74
GCA_002716005.1	Leeuwenhoekiella_sp_SP45
GCA_002715985.1	Xanthomonadales_bacterium_SP48
GCA_002716065.1	Crocinitomicaceae_bacterium_SP82
GCA_002716225.1	Croceibacter_sp_SP62
GCA_002716305.1	Peredibacter_sp_SP55
GCA_002716325.1	Bryobacterales_bacterium_SP4380
GCA_002716765.1	Magasanikbacteria_bacterium_SP4150
GCA_002717045.1	Opitutaceae_bacterium_SP4023
GCA_002717505.1	Leptospiraceae_bacterium_SP332
GCA_002718235.1	Oceanospirillales_bacterium_SP333
GCA_002719495.1	Altererythrobacter_sp_SP3021
GCA_002719735.1	Alcanivorax_sp_sp32
GCA_002719855.1	Legionellaceae_bacterium_SP3112
GCA_002720205.1	Prochlorococcus_sp_SP3034
GCA_002720235.1	Henriciella_sp_SP3031
GCA_002720595.1	Woeseia_sp_SP2978
GCA_002720855.1	Rhodospirillaceae_bacterium_SP3
GCA_002721515.1	Nitrospina_sp_SP265
GCA_002721545.1	Nitrosomonadaceae_bacterium_SP263
GCA_002721535.1	Oceanospirillaceae_bacterium_SP264
GCA_002721595.1	Idiomarinaceae_bacterium_SP259
GCA_002721695.1	Roseibacillus_sp_SP242
GCA_002721925.1	Micrococcales_bacterium_SP226
GCA_002721975.1	Epsilonproteobacteria_bacterium_SP22
GCA_002722255.1	Winogradskyella_sp_SP247
GCA_002722295.1	Stappia_sp_SP245
GCA_002722955.1	Planctomycetaceae_bacterium_SP200
GCA_002723235.1	Spongiibacteraceae_bacterium_SP181
GCA_002723255.1	Pelagibacterium_sp_SP179
GCA_002724575.1	Gemmatimonadetes_bacterium_RS373
GCA_002724745.1	Herbaspirillum_sp_RS355
GCA_002724845.1	Synechococcus_sp_RS344
GCA_002724995.1	Anaerolineaceae_bacterium_NP995
GCA_002725135.1	Actinobacteria_bacterium_NP978
GCA_002725655.1	Opitutales_bacterium_NP990
GCA_002725875.1	Deltaproteobacteria_bacterium_NP956
GCA_002725975.1	Pseudomonadaceae_bacterium_NP95
GCA_002726235.1	Nitrospiraceae_bacterium_NP85
GCA_002726335.1	Gemmatimonadaceae_bacterium_NP81
GCA_002726575.1	Porticoccaceae_bacterium_NP64
GCA_002726755.1	Flavobacteriales_bacterium_NP93
GCA_002726815.1	Methylophaga_sp_NP92
GCA_002726835.1	Haliea_sp_NP9
GCA_002727035.1	Methylobacterium_sp_NP6
GCA_002727395.1	Rhodospirillales_bacterium_RS665
GCA_002727475.1	Thiotrichales_bacterium_RS615
GCA_002727935.1	Dehalococcoidaceae_bacterium_RS451
GCA_002728955.1	Cyanobium_sp_RS427
GCA_002729155.1	Leifsonia_sp_NP56
GCA_002729215.1	Rubrivirga_sp_NP52
GCA_002729225.1	Nitrospinae_bacterium_NP50
GCA_002729445.1	Variovorax_sp_NP4
GCA_002729495.1	Chromatiales_bacterium_NP37
GCA_002729595.1	Thalassobius_sp_NP30
GCA_002729635.1	Mameliella_sp_NP29
GCA_002729835.1	Synechococcus_sp_NP17
GCA_002729885.1	Spirochaetaceae_bacterium_NP47
GCA_002729955.1	Salinisphaera_sp_NP40
GCA_002729995.1	Rhodobacteraceae_bacterium_NP31
GCA_002730245.1	Pelagibacter_sp_NP144
GCA_002730395.1	Dehalococcoidales_bacterium_NP138
GCA_002730815.1	Spongiibacter_sp_NP125
GCA_002730895.1	Cupriavidus_sp_NP124
GCA_002731235.1	Pseudoalteromonadaceae_bacterium_NP121
GCA_002731545.1	Rubinisphaera_sp_NP109
GCA_002731895.1	Cytophagia_bacterium_NP1152
GCA_002731975.1	Coxiellaceae_bacterium_NP1046
GCA_002732055.1	Halomonas_sp_NP1
GCA_002732075.1	Nevskiales_bacterium_NP100
GCA_002738205.1	Hahellaceae_bacterium_EAC91
GCA_002701665.2	Actinomycetales_bacterium_NAT49_ASM270166v2
GCA_002695745.2	Rhodobacterales_bacterium_EAC638_ASM269574v2
GCA_002715585.2	SP78_ASM271558v2
